X,Y,NAME,TEL,URL,ADRESS1,CITY,ZIP,ADDRESS2
-74.013756,40.703817,GOVT Higher Primary School ACHOLA     ,(212) 514-3700,http://www.kalike.org/new,"Ashnala, Yadgir",Yadgir,585201,
-74.063032,40.615121,GOVT Higher Primary School MADHWAR     ,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,Staten Island,10305,
-73.947298,40.833854,GOVT Higher Primary School YELSATTI1     ,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,New York,10032,
-73.978103,40.761625,GOVT Higher Primary School WANKASAMBAR     ,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,New York,10019,
-74.039685,40.699057,GOVT Higher Primary School JAIGRAM    ,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,New York,0,
-73.973648,40.780827,GOVT Higher Primary School TORANATIPPA     ,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,New York,10024,
-74.007012,40.723527,GOVT Higher Primary School YERGOLA     ,(212) 571-4470,http://www.numismatics.org/,75 Varick St,New York,10013,11th Floor
-73.96597,40.768825,GOVT Higher Primary School ALLIPUR    ,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,New York,10021,
-73.99963,40.721128,GOVT Higher Primary School KANCHAGARHALLI     ,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,New York,10012,5th Floor
-73.964284,40.769834,GOVT Higher Primary School VENKATESH NAGAR  YERGOLE  ,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,New York,10021,
-73.946546,40.833583,GOVT Higher Primary School WADNAHALLI     ,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,New York,10032,
-73.805579,40.871779,GOVT Higher Primary School URDU YELHERI    ,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Bronx,10464,Pelham Bay Park
-73.82489,40.762887,GOVT Higher Primary School KALEBELAGUNDI     ,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,Queens,11354,
-73.879749,40.878237,GOVT Higher Primary School NEELAHALLI     ,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,Bronx,10467,
-73.91975,40.83103,GOVT Higher Primary School KANEKAL     ,(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,Bronx,10456,
-73.944016,40.674507,GOVT Higher Primary School BALICHAKRA     ,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,Brooklyn,11213,
-73.992405,40.694803,GOVT Higher Primary School KILLANKERA     ,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,Brooklyn,11201,
-73.963585,40.671084,Govt Higher Primary School SAVUR    ,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,Brooklyn,11238,
-74.007316,40.747898,GOVT Higher Primary School MALHAR     ,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,New York,10011,
-73.977274,40.785871,GOVT Higher Primary School HATTIKUNI     ,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,New York,10024,
-73.998838,40.72075,GOVT Higher Primary School KATTIGE SHAHAPUR    ,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,New York,10012,
-73.931734,40.864924,GOVT Higher Primary School BANDALLI   ,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,New York,10040,
-73.979856,40.575264,GOVT Higher Primary School YADDALLI     ,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,Brooklyn,11224,
-73.957782,40.784326,GOVT Higher Primary School HORUNCHA     ,(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,New York,10128,
-73.973042,40.762107,GOVT Higher Primary School BACHAWAR     ,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,New York,10022,
-73.946493,40.833302,GOVT Higher Primary School HONAGERA    ,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street,New York,10032,
-74.006135,40.747895,GOVT Model Primary School KOLIWADA    ,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,New York,10011,
-73.987319,40.757501,GOVT Higher Primary School RAMASAMUDR     ,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,New York,1036,
-74.002904,40.722452,GOVT Higher Primary School MUNDARGI    ,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,New York,10013,
-73.923839,40.867131,GOVT Higher Primary School ASHANAL    ,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,New York,10034,
-73.992723,40.72496,GOVT Higher Primary School WARKANHALLI     ,(212) 614-8702,http://leshp.org/,308 Bowery,New York,10012,
-73.951368,40.793099,GOVT Higher Primary School KOILUR     ,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,New York,10029,
-74.041322,40.698208,GOVT Higher Primary School MUSTOR     ,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,New York,0,
-74.011339,40.7034,GOVT Higher Primary School HEDGIMADRA     ,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,New York,10004,
-73.96708,40.771055,GOVT Higher Primary School BOMMASHETTAHALLI     ,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,New York,10021,
-74.073878,40.615166,GOVT Higher Primary School ABBETUMKUR     ,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,Staten Island,10305,
-73.961742,40.779166,GOVT Higher Primary School TALAK     ,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,New York,10028,
-73.943068,40.776114,GOVT Higher Primary School GHANAPUR     ,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,New York,10128,Carl Schurz Park
